Timestep, S, V, S+V, I+VI, R, I, VI
348, 69239, 118405, 200000, 0, 12356, 0, 0
349, 68839, 118805, 200000, 0, 12356, 0, 0
350, 68439, 119205, 200000, 0, 12356, 0, 0
351, 68039, 119605, 200000, 0, 12356, 0, 0
352, 67639, 120005, 200000, 0, 12356, 0, 0
353, 67239, 120405, 200000, 0, 12356, 0, 0
354, 66839, 120805, 200000, 0, 12356, 0, 0
355, 66439, 121205, 200000, 0, 12356, 0, 0
356, 66039, 121605, 200000, 0, 12356, 0, 0
357, 65639, 122005, 200000, 0, 12356, 0, 0
358, 65239, 122405, 200000, 0, 12356, 0, 0
359, 64839, 122805, 200000, 0, 12356, 0, 0
360, 64439, 123205, 200000, 0, 12356, 0, 0
361, 64039, 123605, 200000, 0, 12356, 0, 0
362, 63639, 124005, 200000, 0, 12356, 0, 0
363, 63239, 124405, 200000, 0, 12356, 0, 0
364, 62839, 124805, 200000, 0, 12356, 0, 0
365, 62439, 125205, 200000, 0, 12356, 0, 0
366, 62039, 125605, 200000, 0, 12356, 0, 0
367, 61639, 126005, 200000, 0, 12356, 0, 0
368, 61239, 126405, 200000, 0, 12356, 0, 0
369, 60839, 126805, 200000, 0, 12356, 0, 0
370, 60439, 127205, 200000, 0, 12356, 0, 0
371, 60039, 127605, 200000, 0, 12356, 0, 0
372, 59639, 128005, 200000, 0, 12356, 0, 0
373, 59239, 128405, 200000, 0, 12356, 0, 0
374, 58839, 128805, 200000, 0, 12356, 0, 0
375, 58439, 129205, 200000, 0, 12356, 0, 0
376, 58039, 129605, 200000, 0, 12356, 0, 0
377, 57639, 130005, 200000, 0, 12356, 0, 0
378, 57239, 130405, 200000, 0, 12356, 0, 0
379, 56839, 130805, 200000, 0, 12356, 0, 0
380, 56439, 131205, 200000, 0, 12356, 0, 0
381, 56039, 131605, 200000, 0, 12356, 0, 0
382, 55639, 132005, 200000, 0, 12356, 0, 0
383, 55239, 132405, 200000, 0, 12356, 0, 0
384, 54839, 132805, 200000, 0, 12356, 0, 0
385, 54439, 133205, 200000, 0, 12356, 0, 0
386, 54039, 133605, 200000, 0, 12356, 0, 0
387, 53639, 134005, 200000, 0, 12356, 0, 0
388, 53239, 134405, 200000, 0, 12356, 0, 0
389, 52839, 134805, 200000, 0, 12356, 0, 0
390, 52439, 135205, 200000, 0, 12356, 0, 0
391, 52039, 135605, 200000, 0, 12356, 0, 0
392, 51639, 136005, 200000, 0, 12356, 0, 0
393, 51239, 136405, 200000, 0, 12356, 0, 0
394, 50839, 136805, 200000, 0, 12356, 0, 0
395, 50439, 137205, 200000, 0, 12356, 0, 0
396, 50039, 137605, 200000, 0, 12356, 0, 0
397, 49639, 138005, 200000, 0, 12356, 0, 0
398, 49239, 138405, 200000, 0, 12356, 0, 0
399, 48839, 138805, 200000, 0, 12356, 0, 0
400, 48439, 139205, 200000, 0, 12356, 0, 0
