Timestep, S, V, S+V, I+VI, R, I, VI
271, 80578, 87646, 200000, 0, 31776, 0, 0
272, 80178, 88046, 200000, 0, 31776, 0, 0
273, 79779, 88445, 200000, 0, 31776, 0, 0
274, 79380, 88844, 200000, 0, 31776, 0, 0
275, 78981, 89243, 200000, 0, 31776, 0, 0
276, 78583, 89641, 200000, 0, 31776, 0, 0
277, 78184, 90040, 200000, 0, 31776, 0, 0
278, 77784, 90440, 200000, 0, 31776, 0, 0
279, 77385, 90839, 200000, 0, 31776, 0, 0
280, 76985, 91239, 200000, 0, 31776, 0, 0
281, 76585, 91639, 200000, 0, 31776, 0, 0
282, 76187, 92037, 200000, 0, 31776, 0, 0
283, 75788, 92436, 200000, 0, 31776, 0, 0
284, 75391, 92833, 200000, 0, 31776, 0, 0
285, 74991, 93233, 200000, 0, 31776, 0, 0
286, 74592, 93632, 200000, 0, 31776, 0, 0
287, 74193, 94031, 200000, 0, 31776, 0, 0
288, 73794, 94430, 200000, 0, 31776, 0, 0
289, 73396, 94828, 200000, 0, 31776, 0, 0
290, 72996, 95228, 200000, 0, 31776, 0, 0
291, 72597, 95627, 200000, 0, 31776, 0, 0
292, 72199, 96025, 200000, 0, 31776, 0, 0
293, 71804, 96420, 200000, 0, 31776, 0, 0
294, 71405, 96819, 200000, 0, 31776, 0, 0
295, 71005, 97219, 200000, 0, 31776, 0, 0
296, 70609, 97615, 200000, 0, 31776, 0, 0
297, 70210, 98014, 200000, 0, 31776, 0, 0
298, 69812, 98412, 200000, 0, 31776, 0, 0
299, 69415, 98809, 200000, 0, 31776, 0, 0
300, 69016, 99208, 200000, 0, 31776, 0, 0
301, 68618, 99606, 200000, 0, 31776, 0, 0
302, 68218, 100006, 200000, 0, 31776, 0, 0
303, 67819, 100405, 200000, 0, 31776, 0, 0
304, 67419, 100805, 200000, 0, 31776, 0, 0
305, 67019, 101205, 200000, 0, 31776, 0, 0
306, 66620, 101604, 200000, 0, 31776, 0, 0
307, 66221, 102003, 200000, 0, 31776, 0, 0
308, 65822, 102402, 200000, 0, 31776, 0, 0
309, 65425, 102799, 200000, 0, 31776, 0, 0
310, 65027, 103197, 200000, 0, 31776, 0, 0
311, 64629, 103595, 200000, 0, 31776, 0, 0
